Emon Jubayer,value,Hasan Mahbub,value,Kandari Athorbo,value,MZI,value,Nir Shondhani,value,Tareque Anu,value
সম্রাট টাইবেরিয়াস এর,6,দৃষ্টিতে তাকিয়ে থাকে,5,ইন ব্লগের সাথে,5,হওয়ার কথা ছিল,9,থেকে সিগারেট বের,4,পৃথিবীর পথে পথে,4
দুঃখ ভোগ করে,6,আমার বাবা মা,5,হযরত মুহাম্মদ সাঃ,5,আর কিছু হতে,9,কারো না কারো,4,পুরনো বইয়ের দোকান,4
বাবা মারা যাওয়ার,6,বুঝতে পারছি না,5,যৌন সম্পর্ক স্থাপন,5,কেউ জানে না,9,অবাক হবার কিছু,4,বার্ড ক্লাবের প্রতিষ্ঠাতা,4
অবাক হয়ে বললাম,6,গলা চেপে ধরে,5,খিজির আঃ এর,5,হয় না এই,9,দাফন করতে আসা,4,আমার সবচেয়ে প্রিয়,4
থিরিথুধম্মা আর অমঙ্গলী,6,হয় না তার,5,সময় ছিলো যখন,5,আমার এই লেখাটি,9,কিছুদূর যাবার পর,4,অপেক্ষা করতে হবে,4
খুইলাছে রে মওলা,6,হয়ে যায় তবে,5,করে দেয়া হয়েছে,5,আমি যতদূর জানি,9,উপায় ছিল না,4,ম্যান অ্যান্ড দ্য,4
মার্শাল শরীফউদ্দীন আহমেদ,6,খুব ইচ্ছে করে,5,সে যাই হোক,5,ভাই হুমায়ূন আহমেদ,9,ফোন ধরছে না,4,সম্ভব হয় নি,4
নীচে নেমে এলাম,6,কথা মনে পড়ে,5,একটি সিগারেট ধরিয়ে,5,আমার কাছে জানতে,9,আর কেউ ছিল,4,নাম রাখা হয়েছে,4
দেখা যায় না,6,কাজ শুরু করে,5,হাজার টাকা জরিমানা,5,ছেলে বা মেয়ে,9,তার কাছ থেকে,4,চোখ মটকে বলল,4
বাবলা পাতার কষ,6,time ago Where,5,এই কথা শোনার,5,বইয়ের মোড়ক উন্মোচন,9,ছিল না তবু,4,পাতা থেকে উঠে,4
আমার মনের ময়লা,6,কোন না কোন,5,মিনিট ০৬ ২০১৩,5,কীভাবে কীভাবে জানি,9,পারে যে কোন,4,এই সামান্য পোস্টটি,4
দিকে তাকিয়ে বলল,6,খুব বেশি সময়,5,শেষ হয়ে যাবে,5,না দেখার ভান,9,আসা যাওয়া করে,4,সারা বিশ্ব থেকে,4
ভাইস মার্শাল শরীফউদ্দীন,6,আমি দেখতে পাই,5,না বললেই নয়,5,এত দিন পর,9,কাজ করে না,4,ল্য সাগ্রাদা ফ্যামিলিয়া,4
উবু হয়ে বসে,6,কেউ না কেউ,5,ফর্ম করতে দেখা,5,মনে রাখতে হবে,9,জানার উপায় নেই,4,হৈ হৈ করে,4
নারী জগতের আদি,6,বিশ্বাস করে না,5,শে ডিসেম্বর ২০১৩,5,এক ঘণ্টা এগিয়ে,8,০০০ ০০০ ডলার,4,প্রজন্মের কাছে আপনি,4
কাঁধ ঝাঁকিয়ে বলল,6,পারে না তবে,5,বলা হয় যে,5,আমার মনে হয়,8,আহা কত সুখ,4,করার লোভ সামলাতে,4
আমার দিকে তাকিয়ে,6,কালো অবহেলা সাদা,5,কি পাও তুমি,5,এই দেশের প্রায়,8,ওপাশ থেকে বললো,4,পইপই করে বলে,4
উবাইদ মালিক বললেন,6,কোনো উপায় নেই,5,বিশ্বাস করি যে,5,বন্ধ করে দেওয়া,8,মুখের দিকে তাকিয়ে,4,বলা যাচ্ছে না,4
টা বেজে মিনিট,6,ঘুম থেকে ওঠার,5,ব্লগ বাঁধ ভাঙার,5,মনে করিয়ে দেওয়া,8,কোন মানে হয়,4,না ফেরার দেশে,4
জার্মান প্রত্নতাত্ত্বিক ক্লাউস,6,কালো অবহেলা কালো,5,দৃষ্টি আকর্ষণ করছি,5,আমি আবিষ্কার করেছি,8,হয় না কিন্তু,4,বেশ বড় আকারের,4
আমি কিছু নয়,6,ever learn When,5,দেখা যায় যে,5,হিসেবে বিবেচনা করা,8,বুঝতে পারছিলাম না,4,হাজার বছরের পুরনো,4
গোলামুর রহমান এর,6,পাওয়া যায় না,5,বৃষ্টি শুরু হয়ে,5,জানতে পারবে না,8,দিতে পারি না,4,অনেকেই মনে করেন,4
ধর্ম সংস্কৃতি প্রাচীন,6,আমরা একে অপরের,5,এই প্রত্যাশা রইল,5,খুব ভালো করে,8,জীবনে প্রথমবারের মতো,4,থরে থরে সাজানো,4
চায়ে চুমুক দিয়ে,6,কোন কারণ ছাড়াই,5,হয়ে গেছে আর,5,মানুষ মারা গেছে,8,করার চেষ্টা করলো,4,জানতে ইচ্ছে করে,4
গুরু আমার মনের,6,দেখতে পায় না,5,প্রোফাইলে লিখে রেখেছেন,5,না এই দেশে,8,অবাক করে দিয়ে,4,দেখা যায় না,4
কবিয়াল রমেশ শীল,6,learn When will,5,ব্লগার একজন আরমান,5,অবাক হয়ে আবিষ্কার,8,দিতে পারছি না,4,থেকে নেওয়া হয়েছে,4
শক্তিকে চৈতন্যময়ী মনে,6,তুমি কি আমার,5,ঘুম থেকে উঠে,5,পারে না আমি,8,গেল না আর,4,মাছ ধরার ট্রলার,4
এই কারণে যে,6,আমার মনে পড়ে,5,Yang ―but the,5,এই দেশের তরুণেরা,8,বাদে আর কিছু,4,করা যায় না,4
খোঁচা খোঁচা পাকা,6,আবার নতুন করে,5,নাও হতে পারে,5,খুব ভালো লাগে,8,পার হতে হবে,4,মিঠা পানির কুমির,4
ঘর বানাইমু আমি,6,আমার কাছে এসে,5,মুখের দিকে তাকিয়ে,5,এই দেশের তরুণ,8,প্রকাশের ফলে কোন,4,আবুল কালাম মোহাম্মদ,4
মনের ময়লা যাবে,6,কি খুব বেশি,4,করা শুরু করে,5,তার থেকে বেশি,8,হতে পারে কোন,4,ব্যবহার করা হয়,4
চা নিয়ে এল,6,কী আর করা,4,ভেবে দেখার বিষয়,5,সঙ্গে দেখা করতে,8,মুখ ফসকে বলে,4,বলতে পারি না,4
ময়লা যাবে কেমনে,6,ছুটি ছুটি ছুটি,4,নাগালের বাইরে রাখুন,5,মাথা উঁচু করে,8,মনে হচ্ছে না,4,সোয়াচ অফ নো,4
স্কুল খুইলাছে রে,6,সময় নেই এখন,4,তার প্রোফাইলে লিখে,5,সময় ছিল যখন,8,বলা হয় না,4,বাদ যায় নি,4
হিসেবে চিহ্নিত হয়ে,6,কথা না বলে,4,তৈরি হয়ে যাবে,5,বিস্ময় নিয়ে আবিষ্কার,8,না কিন্তু সেই,4,কেউ না কেউ,4
যে কারণে বলা,6,দেখা যেতে পারে,4,কোন সমস্যা নেই,5,কোনো না কোনোভাবে,8,সেই ঘটনার পর,4,অফ নো গ্রাউন্ড,4
বেশ বড় বড়,6,হবে কে জানে,4,হয়ে থাকে তবে,5,না যাই হোক,8,বন্ধ হয়ে যায়,4,যে কোন সময়,4
যে করেই হোক,6,করতে পারলো না,4,শিশু নির্যাতন দমন,5,বিশ্ববিদ্যালয়ে ভর্তি পরীক্ষা,8,যাওয়া যাবে না,4,বিশ্বের সবচেয়ে বড়,4
সালমা অবাক হয়ে,6,তেমন কিছু না,4,একটা সময় ছিলো,5,দশ হাজার কোটি,8,থাকে না কিন্তু,4,সাথে ভাগাভাগি করে,4
সংস্কৃতি প্রাচীন ভারতীয়,6,করে দিতে পারে,4,দশ বছরের কম,5,প্রফেসর মুহাম্মদ ইউনূসকে,8,থেকে বের হয়ে,4,আমাদের যাত্রা শুরু,4
দিনের পর দিন,6,করে দিতে হবে,4,জীবনের এমন এক,5,না জানি না,8,এক কাপ চা,4,দেখে মনে হচ্ছে,4
ঠিক বুঝতে পারলাম,6,তো কেবল শুরু,4,শুনতে কি পাও,5,হাজার কোটি টাকা,8,মনে হয় না,4,সেই সাথে মনে,4
রে মওলা স্কুল,6,বৃথা চেষ্টা করে,4,বলে মনে করে,5,সেই সমস্যার সমাধান,8,হয়ে গেছে এই,4,করা হয় নি,4
কেন করা হয়,6,ব্যান করা হলো,4,গানটির ভিডিওতে ব্যবহৃত,5,পারবে না আমি,8,কাউকে কিছু না,4,অমর করে রেখেছেন,4
এমপি থ্রি ডাউনলোড,6,হয়েছে কী না,4,যেতে পারে কিন্তু,4,অপেক্ষা করে আছি,8,আর পারছি না,4,কয়েক মুহূর্ত পরেই,4
এক মুখ ধোঁওয়া,6,কথা বলতে কী,4,সমগ্র মানব জাতির,4,দেশের সবচেয়ে বড়,8,করতে শুরু করেছে,4,বলেছি এই পোস্টে,4
সৈয়দ গোলামুর রহমান,6,হয় আর কী,4,বিতরণ কার্যক্রম সফল,4,করতে পারছি না,8,মনে পড়ে না,4,করে বিশেষ করে,4
কী বলতে যাবে,6,পাশের রুমে চলে,4,কোন বস্ত্ত দ্বারা,4,প্রশ্ন ফাঁস হয়ে,8,বলা যায় না,4,গবেষক সামিউল মোহসানিন,4
কথাটা শুনে আমি,6,রজনীগন্ধা ছাড়া যেকোন,4,যা জানা যায়,4,আমি এবং আমার,8,বোঝা যায় না,3,হতে পারে যে,4
রাস্তার দু পাশে,6,আছে কে জানে,4,করে ফেলতে হবে,4,না তা নয়,8,করার মতো শক্তি,3,জন্য শুভ জন্মদিন,4
ওপর ভিত্তি করে,6,বেসামাল মাল তুমি,4,করতে না পারে,4,মানুষকে হত্যা করা,8,খিক খিক করে,3,থেকে সংগ্রহ করা,4
তানিয়া বলল স্যার,6,না এর চেয়ে,4,কাতান শাড়ি পরে,4,কথা জানি না,8,করতে পারছে না,3,কোটি বছর ধরে,4
প্রাকৃতিক শক্তিকে চৈতন্যময়ী,6,তো হবার কথা,4,তুমি এখন যাও,4,তৃতীয় পক্ষের কাছে,8,করে ফেলতে পারি,3,গত কয়েকশ বছর,4
মওলা স্কুল খুইলাছে,6,হয়ে যায় সে,4,লাখ টাকা বরাদ্দ,4,বেশ কিছুদিন আগে,8,সাড়ে তিন বছরের,3,ওস্তাদ আলাউদ্দিন খাঁ,4
ফিসফিস করে বলে,6,দিকে তাকিয়ে আছে,4,storm perfect storm,4,দিতে হবে আমি,8,উপর দিয়ে হেঁটে,3,মনে হয় না,4
লাভ করা যায়,6,কেমন আছো তুমি,4,মানিব্যাগ আর সানগ্লাসটি,4,অনুভব করতে পারি,8,ভারত থেকে আমদানী,3,আর কিছুই না,4
থ্রি ডাউনলোড লিঙ্ক,6,কালো দুঃস্বপ্ন সাদা,4,আমার মাঝে মাঝে,4,দেশে ফিরে এসেছি,8,মন বসে না,3,সেই সাথে ছিল,4
মি এম রহমান,5,ever learn Where,4,না করে বরং,4,হবে না তারা,7,কিছু ছিল না,3,স্লিপিং ব্যাগ ব্যবহার,3
বুদ্ধ মনে করতেন,5,তুমি কী করবে,4,আমার নাচ দেখে,4,এক ধরনের বিস্ময়,7,পকেট থেকে সিগারেট,3,ব্যবহার করা যাবে,3
সাদেক মিঞা বলল,5,শূচিস্মিতা শূচিস্মিতা শূচিস্মিতা,4,মারা যাবার পর,4,অন্যের জন্য কিছু,7,করতে পারি না,3,তার চেয়ে বেশী,3
জামাই ইন্ডিয়ার প্রেসিডেন্ট,5,হয়ে যায় তাদের,4,শ্রদ্ধেয় প্রিয় ব্লগার,4,মজার ব্যাপার হলো,7,এদিক ওদিক তাকিয়ে,3,১৫ ১৬ ১৭,3
কর সনাতনধর্ম মত,5,খুঁজে পাওয়া যায়,4,থাকুক না কেন,4,ঘড়ির কাঁটা এক,7,কাজে লাগাতে হবে,3,দায়িত্ব নেবেন যে,3
এক হাজার বছর,5,ধকল পোহাতে হয়,4,মাথা ব্যথা নেই,4,অন্যদের কথা জানি,7,পারে কোন তথ্য,3,আই অফ দ্য,3
দরজা বন্ধ করে,5,জানা ছিলো না,4,নিয়ে তাকিয়ে আছে,4,আর আমার স্ত্রী,7,সাহস পেলাম না,3,বাবা মার সাথে,3
হয়ে উঠতে থাকে,5,ছাড়া যেকোন সাদা,4,ভবিষ্যদ্বাণীর সত্যতা প্রকাশিত,4,আমি জানি আমাদের,7,কাছ থেকে দূরে,3,ওয়েস্ট পর্বত জয়ের,3
জামশেদ পীর এর,5,করার চেষ্টা করি,4,দেখা যেতে পারে,4,না আমার মনে,7,সবাই হৈ হৈ,3,২২ ২৩ ২৪,3
সবচে বড় কথা,5,হয় না আর,4,বাড়ি ফেরার পথে,4,পারে তাহলে আমরা,7,হয় না তোর,3,গারো পাহাড়ের পাদদেশে,3
জনপদ থেকে রাজধানী,5,যেন না আসে,4,কিন্তু কোন কিছুই,4,দেশের মানুষের জন্য,7,খুব ইচ্ছে হলো,3,কাজ করে না,3
গায়ে চাদর জড়িয়ে,5,চোখের দিকে তাকিয়ে,4,of 33 Bit,4,করে দেওয়া হয়,7,বিল দেবার সময়,3,কোন বিকল্প নেই,3
গাড়ি থেকে নেমে,5,মেনে নিতে পারে,4,তুমি বীণা নাহি,4,হয়ে যেতে পারে,7,সকালে অফিসে আসার,3,ছিল সবচেয়ে বেশি,3
তারপর কি হল,5,খুঁজে পাই নি,4,হাতে হাত রেখে,4,চোখ বন্ধ করে,7,কাজ থাকে না,3,মাহবুব সিদ্দিকীকে অনেক,3
org HT 0217,5,মনে হতে লাগলো,4,ya got ta,4,জানি না শুধু,7,থেকে চোখ ফিরিয়ে,3,বিশেষজ্ঞ ইনাম আল,3
ভিতর দিয়ে সরু,5,কোন ব্যাপার না,4,আমাকে ক্ষমা সুন্দর,4,পৃথিবীর আর কোথাও,7,পাশে দাঁড়িয়ে থাকা,3,বেশ কিছু দিন,3
সোহরাব আলী বললেন,5,চাই না আমি,4,Please Sir accept,4,কথা বলতে পারি,7,হয় না তবু,3,কথা সেই সাথে,3
কিছুক্ষণ চুপ করে,5,বের করে নিয়ে,4,বিশ্বাস করেন যে,4,কি না সেটা,7,ছিল না তখন,3,মনে হয় না,3
আহমদ শরীফ লিখেছেন,5,অবহেলা সাদা ঔষধ,4,Sir accept the,4,যেতে হবে না,7,হয়ে গেছে সে,3,সাত্রের আত্নজীবনী শব্দেরা,3
দ্য কাল্ট অভ,5,অবহেলা কালো দুঃস্বপ্ন,4,আমার বুকের ভেতর,4,হয় না আমরা,7,গিয়ে বসে থাকে,3,ওয়েব পেজ থেকে,3
সহ্য করতে পারে,5,ছুড়ে ফেলে দিয়ে,4,ব্লগার কাল্পনিক ভালবাসার,4,জানি না আমার,7,হবার কথা ছিল,3,Love in the,3
মাসের সাত তারিখ,5,বয়স কত হবে,4,আপনার কাছ থেকে,4,ভর্তি পরীক্ষা নেওয়া,7,করতে হয় কিন্তু,3,২০ ২১ ২২,3
চৌধুরি থিরিথুধম্মা আর,5,কী হয়েছে তোমার,4,কিছুই বুঝতে পারছিনা,4,সঙ্গে যোগাযোগ করে,7,করতে হবে না,3,শকুন White rumped,3
আমি আগেই বলেছি,5,কিন্তু তাই বলে,4,আমি আর আমার,4,দিতে পারবে না,7,বৃষ্টি পড়তে শুরু,3,চেষ্টা করতে হবে,3
শ্যামল জ্বী স্যার,5,তোয়াক্কা না করে,4,সরকারের পক্ষ থেকে,4,যাই হোক আমি,7,কি আর করা,3,বলা যেতে পারে,3
এই কথা শুনে,5,পাওয়া যাবে না,4,মিশরীয় পুরাণ অনুযায়ী,4,কমন সেন্স দিয়ে,7,গত কয়েক বছর,3,লোভ সামলাতে পারলাম,3
বলে হাত তুলে,5,অফিস থেকে বের,4,তুমি আমার সাথে,4,মন খারাপ করে,7,দিকে তাকিয়ে বললো,3,যদি বলা হয়,3
ঘরে আবছা অন্ধকার,5,সাথে দেখা করার,4,ব্লগার মোস্তফা কামাল,4,বিশ্বাস করা কঠিন,7,বের করে ফস,3,সম্ভব ছিল না,3
বলতে পারব না,5,বাসের ভেতর মানুষ,4,বড় বেশি অবেলায়,4,একটা বড় অংশ,7,কিন্তু কে শোনে,3,দেখা যায় তা,3
আমার দায় যাদুধন,5,উঠতে পারে না,4,বাংলাদেশের ব্যান্ড সংগীত,4,হবে না আমি,7,রাতে শোবার আগে,3,এবং মায়া হরিণ,3
রোহিঙ্গা জাতির ইতিহাস,5,মনে হয় এই,4,gm of 33,4,একজন মানুষ যদি,7,গলা জড়িয়ে ধরে,3,উঠে আসুক নতুন,3
মিসেস লায়লা মোশতাক,5,না কিন্তু আমি,4,তার কাছ থেকে,4,একটা অজ্ঞাত কারণে,7,করতে না পারলে,3,চলে যায় কিন্তু,3
মোশতাক আন্দালিব কে,5,ব্যস্ত হয়ে পড়ে,4,সুন্দর দৃষ্টিতে দেখার,4,আমার ধারণা ছিল,7,মুরগীর ঝোল দিয়ে,3,না কিন্তু মনে,3
মোহাম্মদ চার খলিফার,5,সে এখন আর,4,perfect storm perfect,4,পারে না কিন্তু,7,আমরা তোমাদের ভুলে,3,the Time of,3
বাঙালি বাঙালীত্ব পৃষ্ঠা,5,হয়ে গেছে তার,4,মোর প্রিয় মধুবীনা,4,কেমন করে এই,7,হয়েছে তার মধ্যে,3,বিশেষ করে তাদের,3
মাইসাং চৌধুরি থিরিথুধম্মা,5,হিসেবে কাজ করবে,4,মধুবীনা নাহি লাগে,4,লেখক জিয়া হায়দার,7,বছর পার হয়ে,3,বাদুড়ের ডানার মত,3
চ্যানেল ফর্টি নাইন,5,প্রতি গুলজার আহমেদ,4,দৃষ্টিতে দেখলেই খুশি,4,মোড়ক উন্মোচন করে,7,কি করে যেন,3,ওয়েস্ট জয় করেছে,3
কোরান শরীফের বিশেষ,5,মন্দ হয় না,4,আজ বড় বেশি,4,আমাদের নতুন প্রজন্ম,7,জন্য মাঝে মাঝে,3,ভাই তানভীর অপু,3
উস্তাদ জামশেদ পীর,5,না আমি আমার,4,উৎসর্গঃ শ্রদ্ধেয় প্রিয়,4,হয়েছে সেটি হচ্ছে,7,হবার চেষ্টা করে,3,যাত্রা শুরু হয়েছিল,3
শূন্যের সঙ্গে মিলিত,5,হতে চাই না,4,ব্লগার এহসান সাবির,4,হোক পরে হোক,7,দিয়ে চলে গেল,3,আমাদের অবাক করে,3
সৈয়দ মাহমুদুল হাসান,5,অপেক্ষা করে থাকে,4,প্রিয় মধুবীনা নাহি,4,চল্লিশ বছর আগে,7,খুঁজে পাবে না,3,কুমার শরৎকুমার রায়ের,3
আমার ভালো লাগে,5,নিতে পারে না,4,খুব সুন্দর করে,4,আমি অবাক হয়ে,7,কি যেন একটা,3,দেখা হবে গতকালের,3
মায়ের মুখে শুনেছি,5,na change my,4,আমার খুব ভাল,4,তাহলে আমরা কেন,7,ভরসা পাচ্ছে না,3,বিশেষ করে যে,3
সুলতান ইলিয়াস শাহ,5,ছেড়ে চলে গেছে,4,গণমাধ্যম হিসেবে ব্লগের,4,কথা বিশ্বাস করে,7,যাতায়াত করতে হয়,3,করতে ইচ্ছে করে,3
প্রভাব বইয়ে লিখেছেন,5,ঔষধ কালো অচ্ছ্যুতভাব,4,খুঁজে পাওয়া যায়,4,করতে চাই না,7,চোখ বুলাতে বুলাতে,3,ওয়েবপেজ থেকে নেওয়া,3
কান্দিস না আমার,5,বেঁচে থাকার জন্যে,4,মনে হল যেন,4,কাঁটা এক ঘণ্টা,7,চলে যেতে পারে,3,যেমন আছে তেমনি,3
এক বর্বর সভ্যতার,5,আমি এবং আমার,4,সাথে যৌন সম্পর্ক,4,মানুষ মারা যায়,7,হোক না কেন,3,আপনি কি দায়িত্ব,3
খুব কাছ থেকে,5,সে খেয়াল করলো,4,জানি তোমার ভয়,4,করে আমি সেটা,7,যেতে পারবে না,3,রাস্তা চলে গেছে,3
পাথরের স্তম্ভের ওপর,5,learn Where have,4,accept the request,4,বিষয় নিয়ে কথা,7,বিকেল গড়িয়ে সন্ধ্যা,3,করা হত এবং,3
জমিদার কৃষ্ণধন রায়ের,5,দৃষ্টিতে আমার দিকে,4,আমার সেই শখ,4,আমি নিশ্চিতভাবে জানি,7,সেটা কল্পনাও করেনি,3,অল্প সময়ের জন্য,3
কথা মনে পড়ে,5,বাড়ার সাথে সাথে,4,নির্যাতন দমন আইন,4,মনে হয় আমাদের,7,হায় হায় করে,3,মনে মনে বলি,3
অবাক হয়ে জিজ্ঞেস,5,হতে পারে আমার,4,দিয়ে মাংস রান্না,4,করার চেষ্টা করছে,7,মনে করার চেষ্টা,3,১০ ১১ ১২,3
আলোচনা করা হয়েছে,5,না ঠিক আছে,4,অনেক রাত করে,4,এই দেশের মানুষকে,7,আমি স্বস্তির নিঃশ্বাস,3,জীবনের আনন্দ জীবনানন্দ,3
আর ঘিয়ে রঙের,5,হ্রদের ধারে বসে,4,রাখতে হবে যেন,4,ছেলে বা মেয়ের,7,তার সারমর্ম হলো,3,বছর কয়েক আগে,3
মারকাস এমেলিয়াস লেপিডাস,5,হবে কী করে,4,মুক্তিযুদ্ধের পক্ষের শক্তি,4,তরুণ লেখক জিয়া,7,দিতে পারবে না,3,www youtube com,3
আমাদের বিস্মিত করে,5,বুঝতে পারি নি,4,কোথাও হতে ঘুরে,4,কী না আমি,7,খারাপ লাগছে না,3,কিন্তু মনে হচ্ছে,3
একটা নীল রঙের,5,বোঝা যায় না,4,ব্লগ দিবস পালন,4,এই দেশের সবচেয়ে,7,আগ্রাবাদ বেতার ভবনে,3,করতে পারবেন এই,3
ঢাকায় একটি জাদুঘর,5,খুঁজে পায় না,4,চৈতন্য ফিরে পেলাম,4,সারা পৃথিবীর সব,7,যা বললো তার,3,রিটার্ন টু আর্থ,3
দর্শনের প্রবর্তক কপিল,5,স্বস্তির শ্বাস ফেলে,4,to your Cornea,4,যতই দিন যাচ্ছে,7,সমস্ত শরীর জুড়ে,3,আবার ফিরে আসল,3
অধ্যাপক ওয়াল্টার নেভেস,5,হচ্ছে কী না,4,আর বেঁচে নেই,4,আমরা সবাই মিলে,7,ঢুকতে পারি না,3,সাথে কথা বলে,3
সিন্ধু থেকে হিন্দু,5,আমি ভুলে যাই,4,দৃষ্টিতে তাকিয়ে আছি,4,দেশের অনেক মানুষ,7,কয়েক হাজার বছর,3,আমার তোলা না,3
one of the,5,কিছু বলে নি,4,সুযোগ করে দিতে,4,একটা সময় ছিল,7,করার উপায় নেই,3,অন্ত ছিল না,3
না আমার দায়,5,কথা ছিলো না,4,অপলক দৃষ্টিতে তাকিয়ে,4,মেনে নিতে হবে,7,আমার কাজ শেষ,3,পারে না কিন্তু,3
আমার চোখ আটকে,5,ফাঁকা ফাঁকা লাগছে,4,বীণা নাহি লাগে,4,বছর আগে আমি,7,অসুবিধা হয় না,3,কেউ বলতে পারে,3
একটু পর ফিরে,5,শুরু করেন আনিস,4,নিজেকে আবিষ্কার করলাম,4,খুব চমৎকার একটা,7,পকেটে হাত দিয়ে,3,আজও তবু কেবলই,3
খোঁচা পাকা দাড়ি,5,হয়ে যেতে পারে,4,বের হয়ে এলাম,4,সেই দেশের মানুষ,7,পারে না আমি,3,বিএমটিসি চুলু ওয়েস্ট,3
হযরত মোহাম্মদ চার,5,প্রশ্নের জবাব দিতে,4,স্পেস শীপে করে,4,করে এই দেশের,7,রাখতে পারবে না,3,in the Time,3
বাংলা সাহিত্যের ইতিহাস,5,করতে না পারলে,4,সম্পর্কে যা জানা,4,মডেল পিএসসি ২০০৮,7,জড়িত ছিল না,3,সত্যি কথা বলতে,3
বাঙালীত্ব পৃষ্ঠা ৪১,5,নতুন করে শুরু,4,লিখেছেনঃ সপ্তাহ দিন,4,দায়িত্ব দেওয়া হয়েছিল,7,কেউ আসে না,3,এক প্রান্ত থেকে,3
HT 0217 HTM,5,দিতে পারবে না,4,সাবরিনা সিরাজী তিতির,4,আমি কী করব,7,কোন কাজে আসবে,3,পেয়ারার মত ফিগারের,3
প্রসঙ্গে আহমদ শরীফ,5,আর কে না,4,কোথা থেকে যেন,4,এই দেশের শিক্ষা,7,চলে গেছে আমি,3,উস্তাদ আলাউদ্দিন খান,3
জিজ্ঞেস করে স্যার,5,খুব বেশি না,4,আমরা প্রতিবাদ করতে,4,ছাড়া আর কিছু,7,কারো ছিল না,3,টিকে থাকার লড়াইয়ে,3
শেষ নিঃশ্বাস ত্যাগ,5,মৃত্যুর দিকে এগিয়ে,4,ব্লগার প্রবাসী পাঠক,4,হতে শুরু করল,7,তুমি আমার জন্য,3,যে অঞ্চলে আছেন,3
বছরের বাঙালি সংস্কৃতি,5,দরকার পড়ে না,4,কবি জীবনানন্দ দাশ,4,মুখের দিকে তাকিয়ে,7,যাচ্ছে না কিন্তু,3,নষ্ট না হয়,3
পূজা করা হয়,5,বন্ধ হয়ে গেছে,4,যাই বলি না,4,জিয়া হায়দার রহমান,7,যাবে জানে না,3,এক পুরনো বইয়ের,3
খুরশিদা বেগম এর,5,কী না এসব,4,ব্লগারদের লগ্ন পতি,4,না হয় তাহলে,7,দিতে পারবো না,3,থপ থপ করে,3
flow like water,5,দিতে হবে না,4,শ্রীগুরু গ্রন্থ সাহেব,4,আরও অনেক বেশি,7,হবে না কিন্তু,3,মনে করিয়ে দেয়,3
না মনে হয়,5,ইমাম সাব শুরু,4,একাকার বা ময়,4,তাহলে এই দেশে,7,না এখানে কোন,3,অ্যান্ড দ্য সী,3
কার্তিক মাসের সাত,5,অপেক্ষা করতে থাকে,4,টাকা বরাদ্দ রাখা,4,পরীক্ষার কথা বলা,7,রাতে ঘুমোবার আগে,3,আমাদের জানা মতে,3
ইবনে ইয়াসিন বললেন,5,কী যে বলেন,4,মাল্টি নিকে ব্লগিং,4,এক জায়গা থেকে,7,করা যাচ্ছে না,3,২১ ২২ ২৩,3
পদধূলি গ্রহন করল,5,করতে সক্ষম হয়েছে,4,করতে শুরু করে,4,সেই প্রশ্নের উত্তর,7,ফসকে বলে ফেলে,3,থেকে উঠে আসা,3
মনে হল আমি,5,শোনার ভান করে,4,request from Wave,4,আমার সাথে যোগাযোগ,7,শক্ত করে ধরে,3,ক্লাবের প্রতিষ্ঠাতা ইনাম,3
রঙের সালোয়ার কামিজ,5,আমি মারা যাচ্ছি,4,মনে হতে পারে,4,মাথায় হাত বুলিয়ে,7,ভালো করেই জানে,3,বছর আগের এক,3
এজ মিউজিক এর,5,তার মনে হয়,4,খুব সম্ভবত এই,4,খুব ধীরে ধীরে,7,ছিল না আমার,3,থেকে আজ পর্যন্ত,3
মনসুর আল হাল্লাজ,5,সময় কাটানোর জন্যে,4,শেষ হয়ে গেছে,4,তৈরি করা হয়েছে,7,হয় না তার,3,সারসের ডানায় চেপে,3
খান এবং নূর,5,না শোনার ভান,4,সোলায়মান আঃ এর,4,কোনো প্রয়োজন নেই,7,ছিল না এই,3,বিলুপ্ত হয়ে গেছে,3
কী মনে করে,5,না হয়তো বা,4,হাহাকার করে উঠল,4,বন্ধ করার জন্য,7,পড়তে শুরু করেছে,3,মানুষ মনে হয়,3
